PLAYER,TEAM,COLLEGE,COUNTRY,lon,lat,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER
Abdel Nader,BOS,Iowa State,Egypt,31.23,30.03,2016,2,58
Al Horford,BOS,Florida,Dominican Republic,-69.92,18.48,2007,1,3
Luis Montero,DET,Westchester C.C.,Dominican Republic,-69.92,18.48,Undrafted,Undrafted,Undrafted
Alex Abrines,OKC,None,Spain,-3.70,40.416,2013,2,32
Jose Calderon,CLE,None,Spain,-3.70,40.416,Undrafted,Undrafted,Undrafted
Juancho Hernangomez,DEN,None,Spain,-3.70,40.416,2016,1,15
Marc Gasol,MEM,None,Spain,-3.70,40.416,2007,2,48
Pau Gasol,SAS,None,Spain,-3.70,40.416,2001,1,3
Ricky Rubio,UTA,None,Spain,-3.70,40.416,2009,1,5
Willy Hernangomez,CHA,None,Spain,-3.70,40.416,2015,2,35
Alex Len,PHX,Maryland,Ukraine,37.80,48.00,2013,1,5
Joel Bolomboy,MIL,Weber State,Ukraine,37.80,48.00,2016,2,52
Andrew Bogut,LAL,Utah,Australia,150.91,-31.083,2005,1,1
Aron Baynes,BOS,Washington State,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Ben Simmons,PHI,Louisiana State,Australia,150.91,-31.083,2016,1,1
Dante Exum,UTA,None,Australia,150.91,-31.083,2014,1,5
Joe Ingles,UTA,None,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Kyrie Irving,BOS,Duke,Australia,150.91,-31.083,2011,1,1
Mangok Mathiang,CHA,Louisville,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Matthew Dellavedova,MIL,St.Mary's College of California,Australia,150.91,-31.083,Undrafted,Undrafted,Undrafted
Patty Mills,SAS,St.Mary's College of California,Australia,150.91,-31.083,2009,2,55
Andrew Wiggins,MIN,Kansas,Canada,-102.46,52.32,2014,1,1
Cory Joseph,IND,Texas-Austin,Canada,-102.46,52.32,2011,1,29
Dillon Brooks,MEM,Oregon,Canada,-102.46,52.32,2017,2,45
Dwight Powell,DAL,Stanford,Canada,-102.46,52.32,2014,2,45
Jamal Murray,DEN,Kentucky,Canada,-102.46,52.32,2016,1,7
Kelly Olynyk,MIA,Gonzaga,Canada,-102.46,52.32,2013,1,13
Khem Birch,ORL,UNLV,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Naz Mitrou-Long,UTA,Iowa State,Canada,-102.46,52.32,Undrafted,Undrafted,Undrafted
Nik Stauskas,BKN,Michigan,Canada,-102.46,52.32,2014,1,8
Trey Lyles,DEN,Kentucky,Canada,-102.46,52.32,2015,1,12
Tristan Thompson,CLE,Texas-Austin,Canada,-102.46,52.32,2011,1,4
Tyler Ennis,LAL,Syracuse,Canada,-102.46,52.32,2014,1,18
Xavier Rathan-Mayes,MEM,Florida State,Canada,-102.46,52.32,2017,,
Ante Zizic,CLE,None,Croatia,15.96,45.815,2016,1,23
Bojan Bogdanovic,IND,None,Croatia,15.96,45.815,2011,2,31
Dario Saric,PHI,None,Croatia,15.96,45.815,2014,1,12
Dragan Bender,PHX,None,Croatia,15.96,45.815,2016,1,4
Ivica Zubac,LAL,None,Croatia,15.96,45.815,2016,2,32
Mario Hezonja,ORL,None,Croatia,15.96,45.815,2015,1,5
Bismack Biyombo,ORL,None,DRC,15.82,-0.228,2011,1,7
Emmanuel Mudiay,NYK,None,DRC,15.82,-0.228,2015,1,7
Boban Marjanovic,LAC,None,Serbia,20.45,44.78,Undrafted,Undrafted,Undrafted
Bogdan Bogdanovic,SAC,None,Serbia,20.45,44.78,2014,1,27
Milos Teodosic,LAC,None,Serbia,20.45,44.78,Undrafted,Undrafted,Undrafted
Nemanja Bjelica,MIN,None,Serbia,20.45,44.78,2010,2,35
Nikola Jokic,DEN,None,Serbia,20.45,44.78,2014,2,41
Bruno Caboclo,SAC,None,Brazil,-46.625,-23.533,2014,1,20
Cristiano Felicio,CHI,None,Brazil,-46.625,-23.533,Undrafted,Undrafted,Undrafted
Lucas Nogueira,TOR,None,Brazil,-46.625,-23.533,2013,1,16
Nene,HOU,None,Brazil,-46.625,-23.533,2002,1,7
Raul Neto,UTA,None,Brazil,-46.625,-23.533,2013,2,47
Buddy Hield,SAC,Oklahoma,Bahamas,-77.34,25.05,2016,1,6
Cedi Osman,CLE,None,Turkey,28.97,41.01,2015,2,31
Enes Freedom,NYK,None,Turkey,28.97,41.01,2011,1,3
Ersan Ilyasova,PHI,None,Turkey,28.97,41.01,2005,2,36
Furkan Korkmaz,PHI,None,Turkey,28.97,41.01,2016,1,26
Omer Asik,CHI,None,Turkey,28.97,41.01,2008,2,36
Cheick Diallo,NOP,Kansas,Mali,-3.996,17.570,2016,2,33
Chris Boucher,GSW,Oregon,Saint Lucia,-60.97,13.90,Undrafted,Undrafted,Undrafted
Clint Capela,HOU,None,Switzerland,6.14,46.204,2014,1,25
Thabo Sefolosha,UTA,None,Switzerland,6.14,46.204,2006,1,13
Daniel Theis,BOS,None,Germany,11.43,48.77,Undrafted,Undrafted,Undrafted
Dennis Schroder,ATL,None,Germany,11.43,48.77,2013,1,17
Dirk Nowitzki,DAL,None,Germany,11.43,48.77,1998,1,9
Maxi Kleber,DAL,None,Germany,11.43,48.77,Undrafted,Undrafted,Undrafted
